Location name;Year;Month;Day;Country;Focal Depth;EQ Primary;Flag Tsunami;Deaths;Injuries;Missing;Missing Description;Houses destroyed;Houses damaged;Damage (in M$);Damage Description;Lat;Lon;Height
JAPAN:  W. OF BONIN ISLANDS, IZU IS.;1990;09;23;JAPAN;10;6.5;Tsunami;;;;;;;;;33.267;138.643;0
PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA;1991;04;05;PERU;20;6.7;;53;252;;;;8063;;SEVERE (~>$5 to $24 million);-5.982;-77.094;0
MALAYSIA:  KALIMANTAN:  RANAU;1991;05;26;MALAYSIA;33;4.5;;1;;;;;;;LIMITED (roughly corresponding to less than $1 million);5.865;116.746;0
GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA;1991;09;18;GUATEMALA;5;6.2;;25;200;;;;;;SEVERE (~>$5 to $24 million);14.646;-90.986;0
SUDAN:  KHARTOUM;1993;08;01;SUDAN;13;5.5;;2;9;;;;;;LIMITED (roughly corresponding to less than $1 million);15.385;31.69;0
FIJI ISLANDS;1994;03;09;FIJI;563;7.6;;;;;;;;;;-18.039;-178.413;0
RUSSIA:  KURIL ISLANDS / JAPAN:  HOKKAIDO;1994;10;04;RUSSIA;14;8.3;Tsunami;11;382;;;;;;SEVERE (~>$5 to $24 million);43.773;147.321;0
CHINA:  SOUTHERN XINJIANG: ARTUX, KASHGAR;1998;03;19;CHINA;33;5.6;;;;;;400;;;LIMITED (roughly corresponding to less than $1 million);39.977;76.731;0
SANRIKU, JAPAN;1998;05;30;JAPAN;33;6.2;Tsunami;;;;;;;;;39.027;143.441;0
AZERBAIJAN:  AGDAS, UCAR, AGALI;1999;06;04;AZERBAIJAN;33;5.4;;1;18;;;;50;5;MODERATE (~$1 to $5 million);40.802;47.448;0
MEXICO:  GUERRERO:  COAHUAYUTLA / MICHOACAN: CUITZEO;1999;06;21;MEXICO;69;6.3;;;;;;;1300;;SEVERE (~>$5 to $24 million);18.324;-101.539;0
WASHINGTON:  OLYMPIA, SEATTLE, TACOMA;2001;02;28;USA;52;6.8;;1;400;;;;;2000;EXTREME (~$25 million or more);47.149;-122.727;0
EL SALVADOR:  CONCHAGUA;2001;05;08;EL SALVADOR;10;5.7;;1;;;;84;70;;MODERATE (~$1 to $5 million);13.605;-88.795;0
